Frequency,Servo tracking amplitude RMS,Visual error amplitude RMS,Theoretical amplitude
0.1,6.5618406841797805,2.028281058096464,43.544303797468345
0.2,6.260434327958686,2.403188809830847,39.96835443037972
0.3,6.245568048877905,2.755891273047752,39.99999999999997
0.4,6.24176672895857,3.21930490178127,42.08069620253165
0.5,6.257274247838128,3.4563278970094213,44.643987341772146
0.6,6.291004729479155,3.710232173976465,45.561708860759495
0.7,6.374394982459516,3.9678294930699773,46.795886075949376
0.8,6.286601686085549,4.219079628472589,46.27373417721518
0.9,6.300743375873008,4.357446703305951,47.610759493670884
1.2,6.2509492949957295,4.8391860388899435,51.352848101265806
1.0,6.047347467477379,4.357446703305951,41.57041139240506
